#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 242.834 1360 141136 1210 56 123288 17365
5048 272.168 817 100459 731 27 84437 15927
5040 242.834 1433 162141 1312 53 136742 24646
5048 272.168 996 111216 846 62 91032 19585
5040 242.834 1563 145287 1367 64 122608 21939
5048 272.168 995 112640 892 24 99352 12826
5040 242.834 1459 147575 1314 67 127809 19418
5048 272.168 954 106859 818 37 90544 15624
5040 242.834 1733 178932 1578 58 155133 23620
5048 272.168 1082 119055 1007 16 102423 16284
5040 242.834 1565 158469 1406 46 139076 18970
5048 272.168 1153 115509 1108 27 100936 14056
5040 242.834 1245 142148 1114 48 118662 22843
5048 272.168 960 110521 852 48 87927 21916
5040 242.834 1636 179163 1445 94 150966 28052
5048 272.168 1326 134534 1134 70 111547 22202
5040 242.834 1234 130093 1099 70 108843 21026
5048 272.168 847 95943 760 27 80337 14972
5040 242.834 1562 155830 1428 70 132783 22265
5048 272.168 983 110049 866 64 94389 15283
5040 242.834 1342 168008 1232 88 143800 24060
5048 272.168 1156 115067 1025 41 97145 17502
5040 242.834 1348 155710 1206 81 131480 23884
5048 272.168 1063 109571 925 38 88760 20081
5040 242.834 1484 157696 1323 65 138384 18992
5048 272.168 892 105479 773 57 87261 17972
5040 242.834 1336 168465 1244 46 143234 24505
5048 272.168 1159 116505 1032 73 98952 17032
5040 242.834 1930 201524 1733 88 175830 25018
5048 272.168 1278 124779 1043 77 101888 22665
5040 242.834 1658 169859 1500 64 147311 21744
5048 272.168 1295 129300 1130 64 109188 19407
5040 242.834 2026 189939 1796 103 159280 30266
5048 272.168 1082 127499 986 67 107495 19780
5040 242.834 1112 125147 1020 46 106320 18623
5048 272.168 882 93318 733 40 78107 14855
5040 242.834 1560 165129 1433 53 145593 18992
5048 272.168 1135 117471 1038 30 103370 13761
5040 242.834 1635 171277 1483 38 150965 19815
5048 272.168 1067 108585 1028 21 92724 15036
5040 242.834 1810 181667 1620 63 153892 26798
5048 272.168 1195 134374 1063 64 112541 21100
5040 242.834 1622 164532 1497 46 145927 18605
5048 272.168 1160 118719 1003 32 102524 15630
5040 242.834 1675 163846 1539 37 147078 16100
5048 272.168 1183 113806 1034 54 98072 15441
5040 242.834 1314 142289 1207 78 117924 23991
5048 272.168 897 94262 720 52 74659 18905
5040 242.834 1717 178648 1521 87 153137 25524
5048 272.168 1191 125318 1024 69 103908 21029
5040 242.834 1435 143520 1291 43 125139 18051
5048 272.168 941 105020 826 54 89230 15416
5040 242.834 1398 140979 1249 54 120734 19222
5048 272.168 982 94023 848 43 79477 13819
5040 242.834 1481 162526 1380 42 143274 18701
5048 272.168 1102 112817 929 45 93904 18328
5040 242.834 1384 149915 1296 60 129714 19427
5048 272.168 1072 113770 956 58 97938 15420
5040 242.834 1559 176178 1413 86 146672 29356
5048 272.168 1148 122910 1017 59 102852 19388
5040 242.834 1508 161720 1384 61 143471 17593
5048 272.168 1203 113388 1082 40 98175 14454
5040 242.834 1541 172867 1355 85 147637 24442
5048 272.168 1172 133251 994 51 111086 22207
5040 242.834 1680 168428 1581 32 149827 17707
5048 272.168 1089 113940 983 39 100809 12483
5040 242.834 1282 155446 1200 70 135361 19273
5048 272.168 991 102844 880 37 84547 17428
5040 242.834 1208 139049 1124 49 118922 19967
5048 272.168 999 99246 864 49 81406 17030
5040 242.834 1327 140952 1167 65 119530 20840
5048 272.168 866 101128 735 47 80112 20953
5040 242.834 1319 151231 1197 87 126153 24875
5048 272.168 944 107517 810 41 88441 18691
5040 242.834 1398 156773 1195 88 128866 27421
5048 272.168 1121 102356 938 58 80225 21892
5040 242.834 1132 134518 1054 47 115178 18725
5048 272.168 887 101368 749 49 85119 15500
5040 242.834 1393 152916 1236 72 131369 21000
5048 272.168 1144 118444 972 26 99133 18313
5040 242.834 1607 189176 1451 64 165076 23882
5048 272.168 1291 134874 1101 46 112613 21712
5040 242.834 1405 135562 1242 34 119209 15732
5048 272.168 798 88871 694 24 77272 11127
5040 242.834 1268 134236 1199 29 119271 14510
5048 272.168 1028 107437 925 32 92257 14278
5040 242.834 1620 172665 1427 73 148950 23183
5048 272.168 1174 122991 1011 73 100779 21358
5040 242.834 1448 162319 1269 76 138601 23377
5048 272.168 1056 108737 921 21 89527 18957
5040 242.834 1487 150843 1378 36 137866 13194
5048 272.168 1086 113406 1017 26 105007 8375
5040 242.834 1553 171312 1398 72 147373 23183
5048 272.168 1129 121753 1016 47 99941 20991
5040 242.834 1549 171961 1354 85 146375 25557
5048 272.168 1092 119605 898 71 96259 22994
5040 242.834 1663 159956 1611 44 141966 17415
5048 272.168 1140 112831 984 37 99505 12615
5040 242.834 1703 167710 1566 60 149269 17810
5048 272.168 1128 117018 1038 47 100103 16324
5040 242.834 1594 178133 1439 79 155837 22351
5048 272.168 1112 109955 1005 40 92324 17093
5040 242.834 1307 154080 1244 50 136499 17207
5048 272.168 1000 103796 839 30 90206 12680
5040 242.834 1145 138653 1113 46 118939 19314
5048 272.168 921 106672 819 22 88752 17389
5040 242.834 1395 143099 1293 8 133006 9325
5048 272.168 1028 104391 977 27 95236 8472
5040 242.834 1558 156763 1411 61 132913 23121
5048 272.168 893 108282 770 43 88262 19719
5040 242.834 1115 117434 984 58 96462 20687
5048 272.168 826 92751 691 48 72108 20344
5040 242.834 1345 117744 1258 9 109094 8204
5048 272.168 880 90946 840 8 81432 8903
5040 242.834 1397 155511 1249 59 135586 19920
5048 272.168 927 108554 824 44 90736 17551
5040 242.834 1399 150647 1254 57 132403 17602
5048 272.168 974 107725 834 62 87701 19758
5040 242.834 1322 140938 1234 30 120362 19932
5048 272.168 1005 95492 864 38 78851 16119
5040 242.834 1414 153215 1273 43 133584 19088
5048 272.168 1091 119876 950 44 102313 16988
5040 242.834 1363 154103 1219 107 129118 24632
5048 272.168 1021 116154 881 51 93208 22445
5040 242.834 1505 149811 1408 54 132611 16596
5048 272.168 1023 100804 922 23 88162 12332
5040 242.834 1335 144350 1252 53 126408 17621
5048 272.168 917 103178 825 29 87205 15557
5048 272.168 1034 115266 892 37 101590 13216
5040 242.834 1579 160911 1402 36 143199 17068
5040 242.834 1664 163974 1511 91 140960 22476
5048 272.168 1060 124867 1001 30 107271 16767
5040 242.834 1254 152353 1127 63 132545 19488
5048 272.168 1079 124961 1003 54 101988 22722
5040 242.834 1589 181113 1443 71 155032 25438
5048 272.168 1237 126363 1085 50 103944 22153
5040 242.834 1281 153002 1198 41 136245 16653
5048 272.168 898 102986 850 41 87866 14618
5040 242.834 1507 160056 1306 72 133329 26028
5048 272.168 1166 111958 985 75 92287 19381
5040 242.834 1355 141666 1242 49 125444 16017
5048 272.168 970 101861 880 21 89680 11531
5040 242.834 1755 161681 1631 32 140349 20789
5048 272.168 1196 129322 1063 46 110970 17951
5040 242.834 1548 147522 1408 52 131092 15970
5048 272.168 992 98995 922 19 86130 12334
5040 242.834 1602 152978 1466 57 132563 20062
5048 272.168 946 107206 899 24 91893 14737
5040 242.834 1485 153677 1311 68 134021 19036
5048 272.168 1011 113024 900 55 95683 17244
5040 242.834 1704 195063 1540 60 175843 18376
5048 272.168 1118 119292 1042 22 107128 11828
5040 242.834 1650 165846 1464 86 142012 23311
5048 272.168 1018 111093 945 48 95877 14752
5040 242.834 1750 175333 1662 51 160724 14085
5048 272.168 1189 120467 1053 21 106759 13346
5040 242.834 1189 149515 1077 76 124600 24673
5048 272.168 940 111247 813 56 91176 20125
5040 242.834 1603 164844 1478 62 146462 17676
5048 272.168 1194 115752 1039 44 98458 16628
5040 242.834 1546 173379 1440 78 147760 24658
5048 272.168 1202 124586 1071 68 103483 20599
5040 242.834 1291 152796 1126 65 129010 23310
5048 272.168 1015 108131 906 25 91064 16398
5040 242.834 1592 158387 1438 91 138193 20179
5048 272.168 866 112900 811 38 95487 17102
5040 242.834 1808 187781 1686 60 167130 20007
5048 272.168 1184 130588 1098 62 112234 17764
5040 242.834 1388 152774 1228 59 128818 23911
