#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 317.157 999 124409 739 134 82993 40670
5048 355.828 732 97789 508 161 57554 39354
5048 355.828 649 97541 477 119 52659 44699
5040 317.157 948 127151 702 176 78139 48243
5040 317.157 1079 139286 807 182 89003 49624
5048 355.828 720 98686 485 153 55074 42818
5040 317.157 1033 130651 782 165 82482 47834
5048 355.828 824 108262 572 150 65400 42408
5040 317.157 1165 128116 880 168 85729 41651
5048 355.828 762 99704 552 137 57275 42007
5040 317.157 1060 117977 752 175 76280 41010
5048 355.828 704 95804 497 137 57152 38149
5040 317.157 869 105207 740 48 79614 24623
5048 355.828 717 77767 551 82 51693 25522
5040 317.157 995 117197 811 110 78754 37760
5048 355.828 631 80180 466 66 50130 29606
5040 317.157 797 85805 594 97 59387 25803
5048 355.828 463 57825 331 66 37758 19809
5040 317.157 1136 140217 768 276 89313 50674
5048 355.828 833 100126 581 162 60045 39097
5040 317.157 961 117969 784 119 81595 35680
5048 355.828 664 82105 455 97 51300 30434
5040 317.157 1021 124471 750 153 80509 43437
5048 355.828 798 108509 611 148 64675 43422
5040 317.157 1135 126681 861 143 83922 42677
5048 355.828 706 98021 483 138 57768 39764
5040 317.157 1241 134783 948 162 89861 44313
5048 355.828 705 96595 457 143 59396 36640
5040 317.157 848 118589 660 153 77988 39874
5048 355.828 714 84335 527 99 52088 31442
5040 317.157 990 112268 863 98 81152 30117
5048 355.828 807 83221 590 88 54724 27927
5040 317.157 977 124283 738 148 79351 44331
5048 355.828 680 94224 494 109 54563 38911
5040 317.157 1040 118649 798 122 76968 40923
5048 355.828 655 90817 478 134 55685 34649
5040 317.157 934 120957 736 148 81091 39269
5048 355.828 794 95492 588 106 59876 34793
5040 317.157 994 130706 743 154 80260 49905
5048 355.828 682 95056 492 143 53624 40944
5040 317.157 1238 150209 940 171 96946 52642
5048 355.828 795 113489 528 181 65483 47422
5040 317.157 920 107095 709 96 74585 31591
5048 355.828 713 82822 571 76 55262 26664
5040 317.157 1114 137579 832 183 88718 48371
5048 355.828 758 102705 545 134 61106 41463
5040 317.157 910 123474 686 143 81303 41756
5048 355.828 766 89342 564 114 54601 34147
5040 317.157 915 119612 713 127 78661 40676
5048 355.828 612 88172 392 147 51955 35709
5040 317.157 1102 126469 896 121 87963 37514
5048 355.828 826 102221 573 143 63609 38020
5040 317.157 1039 116867 746 119 80407 36163
5048 355.828 817 90036 496 149 53638 36101
5040 317.157 1105 131857 819 175 83659 47258
5048 355.828 864 103224 604 124 61540 41220
5040 317.157 951 125031 723 149 83030 41676
5048 355.828 760 93893 551 102 55164 38264
5040 317.157 1037 125550 742 165 79043 45816
5048 355.828 718 93328 502 135 52550 40292
5040 317.157 1152 131389 927 154 91902 38859
5048 355.828 683 95154 458 145 56470 38280
5040 317.157 999 127684 796 141 84229 43161
5048 355.828 747 103624 538 134 66793 36137
5040 317.157 971 117949 778 146 75205 42293
5048 355.828 672 89075 473 122 55380 33248
5040 317.157 937 121712 719 141 80194 41289
5048 355.828 618 96270 429 120 57945 37962
5040 317.157 834 99398 727 71 74477 24580
5048 355.828 611 73175 478 66 47648 24926
5040 317.157 1153 121747 934 133 89506 31270
5048 355.828 798 92713 539 126 63911 28441
5040 317.157 1090 134034 845 151 87708 45943
5048 355.828 711 94545 510 99 56510 37077
5040 317.157 1098 135771 766 174 83311 51614
5048 355.828 779 104360 538 144 60386 43036
5040 317.157 1083 128793 868 115 84171 43796
5048 355.828 784 100137 574 140 62490 37500
5040 317.157 1019 106083 832 92 74647 30709
5048 355.828 846 84199 668 102 52654 31081
5040 317.157 1153 135075 914 207 89634 45286
5048 355.828 818 103319 580 119 60757 41823
5040 317.157 839 110320 690 127 73361 36190
5048 355.828 713 87158 481 106 53865 32932
5040 317.157 1058 129855 812 174 85305 43938
5048 355.828 732 94970 510 120 57830 36712
5040 317.157 1019 101227 822 101 70163 30334
5048 355.828 758 78553 591 105 51897 25993
5040 317.157 1115 133830 733 199 80308 52757
5048 355.828 931 122305 616 178 67945 53774
5040 317.157 820 114742 634 129 70920 43450
5048 355.828 650 90711 461 153 52162 37597
5040 317.157 957 133528 641 197 84399 48277
5048 355.828 800 95266 466 182 53772 40621
5040 317.157 1038 118691 739 183 78480 39157
5048 355.828 742 96605 572 101 58847 37369
5040 317.157 924 117465 712 124 81914 34975
5048 355.828 598 82486 444 93 51861 30171
5040 317.157 1036 136385 795 161 88740 47080
5048 355.828 682 103830 438 146 61247 41716
5040 317.157 1077 142381 843 194 89604 52093
5048 355.828 676 100132 479 157 57890 41794
5040 317.157 1075 126920 760 168 77585 48892
5048 355.828 788 97640 570 107 59347 37364
5040 317.157 1118 125754 870 147 81492 43640
5048 355.828 712 94720 547 128 57288 36757
5040 317.157 1019 139907 779 164 89763 49680
5048 355.828 762 98411 489 146 56868 40857
5040 317.157 1069 117692 870 118 80551 36285
5048 355.828 667 82811 447 112 50719 31463
5040 317.157 1041 118365 874 114 85866 32348
5048 355.828 703 90984 495 95 56792 33405
5040 317.157 997 114592 755 113 78039 36183
5048 355.828 696 85168 499 109 54814 30036
5040 317.157 953 128192 762 159 83157 44603
5048 355.828 784 101997 541 149 60713 40571
5040 317.157 907 126006 701 144 80365 45146
5048 355.828 676 94692 466 112 59410 34725
5040 317.157 1163 136036 823 187 87523 47877
5048 355.828 673 96897 458 167 54129 42517
5040 317.157 934 133779 725 162 83683 49524
5048 355.828 711 96281 530 143 57132 38428
5040 317.157 898 125070 711 151 82767 41792
5048 355.828 661 94240 552 130 53942 39542
5040 317.157 1010 122015 780 149 82313 39160
5048 355.828 724 93181 459 138 54943 37797
5040 317.157 933 126255 754 119 86111 39520
5048 355.828 714 95423 468 153 56224 38644
5040 317.157 920 117225 728 100 84347 32169
5048 355.828 696 90707 537 89 58573 31505
5040 317.157 945 132529 699 174 81391 50713
5048 355.828 675 93781 506 142 56471 36519
5040 317.157 1254 122144 961 154 85078 36193
5048 355.828 753 91845 561 115 60820 30290
5040 317.157 1021 119532 775 176 76610 42362
5048 355.828 763 91287 585 96 54364 36628
5040 317.157 925 118088 660 123 78098 39937
5048 355.828 755 95998 544 141 59308 35743
5040 317.157 1156 131761 895 142 85474 45536
5048 355.828 676 97921 473 159 56254 41171
5040 317.157 870 121652 755 132 81900 39326
5048 355.828 748 90958 521 119 57134 33361
5040 317.157 1032 132486 766 137 86638 45183
5048 355.828 720 93584 499 124 57020 36551
5040 317.157 951 119990 771 132 78041 41698
5048 355.828 656 93755 505 93 60223 33016
5040 317.157 1198 140272 920 178 90745 49310
5048 355.828 725 101270 511 132 57821 43048
5040 317.157 967 122161 688 171 79644 41777
5048 355.828 727 90905 437 154 53415 37367
5040 317.157 999 122262 798 134 80700 40990
5048 355.828 832 96514 628 140 60031 35981
5040 317.157 1154 130801 804 209 82759 47212
5048 355.828 761 95465 518 140 56256 38767
5040 317.157 987 115023 822 134 77396 37441
5048 355.828 694 91924 511 123 55324 36145
5040 317.157 990 119392 785 124 78689 40465
5048 355.828 675 89474 430 107 50504 38419
5040 317.157 1112 130595 803 208 81878 48105
5048 355.828 799 101800 536 151 59091 42276
5040 317.157 1014 122069 810 108 86708 34555
5048 355.828 689 93089 525 107 58384 34362
